time_slot,source_sat_id,target_sat_id,is_inter_plane,actual_delay
1,satellite_1,satellite_2,0,0.01195858
1,satellite_1,satellite_13,0,0.011952560000000001
1,satellite_1,satellite_14,1,0.0028631466666666663
1,satellite_2,satellite_3,0,0.01192206
1,satellite_2,satellite_15,1,0.002542626666666667
1,satellite_13,satellite_12,0,0.011905726666666666
1,satellite_13,satellite_26,1,0.0025403833333333334
1,satellite_14,satellite_15,0,0.01195858
1,satellite_14,satellite_26,0,0.011952560000000001
1,satellite_14,satellite_27,1,0.0028631466666666663
1,satellite_3,satellite_4,0,0.011878296666666666
1,satellite_3,satellite_16,1,0.0016642766666666667
1,satellite_15,satellite_16,0,0.01192206
1,satellite_15,satellite_28,1,0.002542626666666667
1,satellite_4,satellite_5,0,0.011867013333333332
1,satellite_4,satellite_17,1,0.00056001
1,satellite_16,satellite_17,0,0.011878296666666666
1,satellite_16,satellite_29,1,0.0016642766666666667
1,satellite_5,satellite_6,0,0.011898206666666666
1,satellite_5,satellite_18,1,0.00109493
1,satellite_17,satellite_18,0,0.011867013333333332
1,satellite_17,satellite_30,1,0.00056001
1,satellite_6,satellite_7,0,0.011943996666666666
1,satellite_6,satellite_19,1,0.002161063333333333
1,satellite_18,satellite_19,0,0.011898206666666666
1,satellite_18,satellite_31,1,0.00109493
1,satellite_7,satellite_8,0,0.011961823333333333
1,satellite_7,satellite_20,1,0.00278202
1,satellite_19,satellite_20,0,0.011943996666666666
1,satellite_19,satellite_32,1,0.002161063333333333
1,satellite_8,satellite_9,0,0.01193241
1,satellite_8,satellite_21,1,0.0027807366666666665
1,satellite_20,satellite_21,0,0.011961823333333333
1,satellite_20,satellite_33,1,0.00278202
1,satellite_9,satellite_10,0,0.011878206666666667
1,satellite_9,satellite_22,1,0.0021584233333333336
1,satellite_21,satellite_22,0,0.01193241
1,satellite_21,satellite_34,1,0.0027807366666666665
1,satellite_10,satellite_11,0,0.011843303333333333
1,satellite_10,satellite_23,1,0.0010935666666666666
1,satellite_22,satellite_23,0,0.011878206666666667
1,satellite_22,satellite_35,1,0.0021584233333333336
1,satellite_11,satellite_12,0,0.011855823333333333
1,satellite_11,satellite_24,1,0.0005603066666666667
1,satellite_23,satellite_24,0,0.011843303333333333
1,satellite_23,satellite_36,1,0.0010935666666666666
1,satellite_12,satellite_25,1,0.0016619266666666665
1,satellite_24,satellite_25,0,0.011855823333333333
1,satellite_24,satellite_37,1,0.0005603066666666667
1,satellite_25,satellite_26,0,0.011905726666666666
1,satellite_25,satellite_38,1,0.0016619266666666665
1,satellite_26,satellite_39,1,0.0025403833333333334
1,satellite_27,satellite_28,0,0.01195858
1,satellite_27,satellite_39,0,0.011952560000000001
1,satellite_27,satellite_40,1,0.0028631466666666663
1,satellite_28,satellite_29,0,0.01192206
1,satellite_28,satellite_41,1,0.002542626666666667
1,satellite_29,satellite_30,0,0.011878296666666666
1,satellite_29,satellite_42,1,0.0016642766666666667
